frame,track_id,train_bbox,train_conf,assigned_track,overlap
0,1,"[584.70361328125, 625.125, 801.0454711914062, 878.650634765625]",0.8252739310264587,voie2,0.3533
1,1,"[584.2586059570312, 624.9628295898438, 800.5037231445312, 877.63330078125]",0.8271213173866272,voie2,0.3445
2,1,"[584.0770874023438, 624.8162231445312, 798.2244262695312, 877.12890625]",0.8267108798027039,voie2,0.3392
3,1,"[584.3206787109375, 624.9764404296875, 797.8445434570312, 877.0849609375]",0.8266054391860962,voie2,0.3393
4,1,"[583.6434936523438, 625.9700317382812, 798.8310546875, 877.8875122070312]",0.8271644711494446,voie2,0.346
5,1,"[583.4896850585938, 625.6962890625, 799.2322998046875, 877.6213989257812]",0.8273835182189941,voie2,0.3436
6,1,"[582.7454833984375, 625.7578125, 798.8953247070312, 879.3349609375]",0.8294581174850464,voie2,0.3551
7,1,"[582.077392578125, 625.70263671875, 798.3997192382812, 879.8370361328125]",0.829389750957489,voie2,0.3574
8,1,"[580.5515747070312, 624.1412963867188, 797.81982421875, 876.5205078125]",0.8308269381523132,voie2,0.3281
9,1,"[580.5475463867188, 624.4158935546875, 798.1424560546875, 876.10546875]",0.8306882381439209,voie2,0.3255
10,1,"[581.443115234375, 624.022216796875, 800.6405639648438, 877.6082153320312]",0.8348856568336487,voie2,0.3386
11,1,"[581.1456909179688, 623.7203369140625, 801.0629272460938, 877.9271850585938]",0.8350494503974915,voie2,0.3403
12,1,"[580.3352661132812, 624.2487182617188, 798.8864135742188, 876.4852905273438]",0.8301933407783508,voie2,0.3281
13,1,"[580.2055053710938, 624.4624633789062, 798.3116455078125, 875.9559326171875]",0.8302573561668396,voie2,0.324
14,1,"[580.03369140625, 624.7122802734375, 797.55810546875, 876.8433837890625]",0.8274770379066467,voie2,0.3303
15,1,"[580.0853271484375, 624.5761108398438, 797.2487182617188, 877.0374755859375]",0.827363908290863,voie2,0.3315
16,1,"[579.5736694335938, 623.7319946289062, 797.5654907226562, 877.547119140625]",0.8303322792053223,voie2,0.3335
17,1,"[579.567138671875, 623.543212890625, 797.8348388671875, 877.8672485351562]",0.8303537964820862,voie2,0.3358
18,1,"[576.8094482421875, 622.6397705078125, 795.9329833984375, 876.466796875]",0.8277167677879333,voie2,0.3194
19,1,"[575.6885375976562, 622.67822265625, 795.2772216796875, 876.2175903320312]",0.8277498483657837,voie2,0.3157
20,1,"[575.0355224609375, 622.1768798828125, 795.3720703125, 877.3108520507812]",0.8305394053459167,voie2,0.322
21,1,"[574.3019409179688, 621.8612060546875, 794.9286499023438, 877.6072387695312]",0.8305118083953857,voie2,0.3224
22,1,"[571.3575439453125, 621.9822387695312, 792.4838256835938, 876.4337158203125]",0.8285443186759949,voie2,0.3089
23,1,"[570.6470947265625, 622.3148193359375, 792.0194702148438, 876.1174926757812]",0.8286420106887817,voie2,0.3058
24,1,"[572.1309204101562, 621.9996948242188, 793.2067260742188, 876.7095947265625]",0.8312711119651794,voie2,0.3123
25,1,"[572.7958374023438, 621.9596557617188, 793.7686767578125, 876.9617309570312]",0.831157386302948,voie2,0.3152
26,1,"[571.4144897460938, 620.61865234375, 793.3438110351562, 878.1234741210938]",0.8290457129478455,voie2,0.3195
27,1,"[570.3883666992188, 620.43310546875, 792.7392578125, 878.8531494140625]",0.8291581273078918,voie2,0.3225
28,1,"[570.5252075195312, 620.2777099609375, 792.0042114257812, 877.7351684570312]",0.8264890909194946,voie2,0.3144
29,1,"[571.142333984375, 620.2788696289062, 792.1201782226562, 877.3423461914062]",0.8262238502502441,voie2,0.3127
30,1,"[572.1940307617188, 621.302978515625, 790.376708984375, 876.807373046875]",0.8234530091285706,voie2,0.3108
31,1,"[572.878173828125, 621.343994140625, 789.9799194335938, 876.28369140625]",0.8234495520591736,voie2,0.3079
32,1,"[571.62109375, 621.2966918945312, 791.4495239257812, 877.90283203125]",0.8281487226486206,voie2,0.3181
33,1,"[570.7695922851562, 621.1510009765625, 791.5684204101562, 878.3671264648438]",0.8281177878379822,voie2,0.32
34,1,"[571.4346313476562, 620.4881591796875, 792.2649536132812, 878.6421508789062]",0.8259079456329346,voie2,0.3224
35,1,"[571.7280883789062, 620.4729614257812, 792.5437622070312, 878.897216796875]",0.8258137702941895,voie2,0.3247
36,1,"[572.0792846679688, 620.4752197265625, 793.4547119140625, 878.5281982421875]",0.827100932598114,voie2,0.3231
37,1,"[571.93310546875, 620.3290405273438, 793.49072265625, 878.2825317382812]",0.8271346688270569,voie2,0.3211
38,1,"[569.7715454101562, 621.31591796875, 790.5006103515625, 876.80029296875]",0.8236696720123291,voie2,0.3074
39,1,"[569.5263061523438, 621.69384765625, 789.7037963867188, 876.2854614257812]",0.8235143423080444,voie2,0.3035
40,1,"[570.5872802734375, 620.3702392578125, 792.0074462890625, 877.8552856445312]",0.8269134163856506,voie2,0.3155
41,1,"[570.67724609375, 620.17724609375, 792.60693359375, 878.8301391601562]",0.8266593217849731,voie2,0.3224
42,1,"[568.9801635742188, 620.7916870117188, 791.8974609375, 879.56103515625]",0.8285635709762573,voie2,0.3253
