frame,train_track_id,train_conf,train_bbox,assigned_track,overlap
0,1,0.8501657247543335,"[740.73779296875, 395.63330078125, 1167.713623046875, 929.05078125]",voie1,0.0791
1,1,0.8483405113220215,"[740.0424194335938, 395.5165100097656, 1166.36865234375, 932.4778442382812]",voie1,0.0981
2,1,0.8537027835845947,"[736.7337646484375, 395.32855224609375, 1188.2086181640625, 889.1209716796875]",voie1,0.0125
3,1,0.8649900555610657,"[737.6012573242188, 394.5272521972656, 1181.9705810546875, 903.0315551757812]",voie1,0.0435
4,1,0.8685468435287476,"[738.1478271484375, 394.27215576171875, 1178.1737060546875, 914.5350341796875]",voie1,0.0645
5,1,0.8661307692527771,"[738.9669799804688, 394.1868896484375, 1177.261474609375, 917.24755859375]",voie1,0.0694
6,1,0.8443006873130798,"[742.0183715820312, 395.02239990234375, 1192.2047119140625, 902.4338989257812]",voie1,0.0295
7,1,0.8594391942024231,"[739.5234375, 393.24713134765625, 1212.3370361328125, 900.0579223632812]",voie2,0.0429
8,1,0.8525171279907227,"[756.25927734375, 392.76141357421875, 1220.119384765625, 906.2098999023438]",voie1,0.0285
9,1,0.867223858833313,"[761.4420166015625, 393.18939208984375, 1218.862548828125, 911.6844482421875]",voie1,0.0116
10,1,0.8802291750907898,"[766.4849853515625, 393.2776184082031, 1224.0496826171875, 916.7467041015625]",voie1,0.0142
11,1,0.8680357336997986,"[772.0497436523438, 393.2391662597656, 1233.7764892578125, 915.549072265625]",voie1,0.0137
12,1,0.8535258173942566,"[778.7222900390625, 391.7869567871094, 1242.0234375, 917.0550537109375]",voie1,0.0298
13,1,0.862853467464447,"[781.9541015625, 392.1327209472656, 1245.8782958984375, 916.6203002929688]",voie1,0.0219
14,1,0.8640191555023193,"[782.2266235351562, 391.893798828125, 1246.4560546875, 916.339599609375]",voie1,0.0218
15,1,0.8635737895965576,"[784.8574829101562, 391.75323486328125, 1251.6375732421875, 919.1378784179688]",voie1,0.0188
16,1,0.8680329322814941,"[786.3516845703125, 392.4871520996094, 1252.149169921875, 918.617919921875]",voie1,0.0164
17,1,0.8699762225151062,"[785.9147338867188, 391.1230163574219, 1251.4093017578125, 921.5578002929688]",voie1,0.0192
18,1,0.8700903654098511,"[785.6342163085938, 390.6852111816406, 1250.9906005859375, 922.7747192382812]",voie1,0.0198
19,1,0.8695432543754578,"[785.2960205078125, 389.5023498535156, 1252.3927001953125, 921.8540649414062]",voie1,0.0223
20,1,0.866443932056427,"[782.7930908203125, 389.07818603515625, 1250.86181640625, 921.6506958007812]",voie1,0.0186
21,1,0.8690020442008972,"[781.100830078125, 389.83056640625, 1250.3690185546875, 920.82421875]",voie1,0.0243
22,1,0.8709738850593567,"[781.58740234375, 389.2808837890625, 1250.6290283203125, 921.522216796875]",voie1,0.0247
23,1,0.8485463857650757,"[778.8818359375, 385.7906188964844, 1250.7449951171875, 918.8519287109375]",voie1,0.0451
24,1,0.8561860918998718,"[774.9725341796875, 383.65399169921875, 1249.36328125, 916.1218872070312]",voie1,0.0252
25,1,0.8469412922859192,"[769.831787109375, 384.3389892578125, 1238.4698486328125, 919.3466796875]",voie1,0.0456
26,1,0.8556636571884155,"[763.7257690429688, 385.535888671875, 1228.418212890625, 921.4492797851562]",voie1,0.0477
27,1,0.855475664138794,"[764.5308837890625, 386.3156433105469, 1227.6417236328125, 922.4976806640625]",voie1,0.0488
28,1,0.860630452632904,"[763.608154296875, 383.8171691894531, 1229.570556640625, 916.9136352539062]",voie1,0.0367
29,1,0.8849877715110779,"[762.848876953125, 379.8592834472656, 1222.2373046875, 923.4595947265625]",voie1,0.0866
30,1,0.8809284567832947,"[765.427490234375, 381.57110595703125, 1217.851318359375, 913.5916137695312]",voie1,0.0706
31,1,0.8821679353713989,"[767.4884643554688, 382.7245178222656, 1217.5889892578125, 910.9275512695312]",voie1,0.066
32,1,0.8774958848953247,"[755.7936401367188, 380.0189208984375, 1214.8277587890625, 925.4764404296875]",voie1,0.0754
33,1,0.8793609142303467,"[738.3478393554688, 378.247314453125, 1202.884765625, 907.8875122070312]",voie1,0.0355
34,1,0.8785386085510254,"[736.9052734375, 377.48895263671875, 1200.4571533203125, 910.8126831054688]",voie1,0.028
35,1,0.8779084086418152,"[738.58837890625, 377.3144836425781, 1201.7509765625, 911.921630859375]",voie1,0.0293
36,1,0.8753250241279602,"[739.5668334960938, 376.21270751953125, 1193.1849365234375, 905.6469116210938]",voie1,0.0258
37,1,0.8722273111343384,"[736.862060546875, 375.23468017578125, 1191.322021484375, 903.0113525390625]",voie1,0.0519
38,1,0.869382917881012,"[727.4000854492188, 374.1495056152344, 1178.5850830078125, 891.62255859375]",voie1,0.0354
39,1,0.8699260354042053,"[721.8303833007812, 376.13818359375, 1173.5352783203125, 885.768310546875]",voie1,0.0207
40,1,0.8736711144447327,"[721.23828125, 376.3993225097656, 1173.58447265625, 886.2894287109375]",voie1,0.0223
41,1,0.8616624474525452,"[721.0382080078125, 376.7347412109375, 1169.19677734375, 880.8252563476562]",voie1,0.0098
42,1,0.8793839812278748,"[715.9913330078125, 380.20452880859375, 1168.322265625, 903.8934936523438]",voie1,0.0421
43,1,0.8723908066749573,"[713.3726806640625, 382.1077880859375, 1168.8441162109375, 904.98388671875]",voie1,0.0282
44,1,0.8722846508026123,"[713.4973754882812, 381.628662109375, 1169.7779541015625, 904.3954467773438]",voie1,0.0274
45,1,0.8689974546432495,"[714.1341552734375, 383.481689453125, 1173.5755615234375, 908.83349609375]",voie1,0.0201
46,1,0.8674426078796387,"[714.398193359375, 382.7441101074219, 1177.7967529296875, 910.878173828125]",voie1,0.0314
47,1,0.8748151063919067,"[716.0213623046875, 380.96368408203125, 1181.9263916015625, 916.3619995117188]",voie1,0.0319
48,1,0.8709964156150818,"[716.164306640625, 380.35540771484375, 1183.2603759765625, 914.4097290039062]",voie1,0.0298
49,1,0.8684531450271606,"[717.337646484375, 378.52032470703125, 1183.65087890625, 913.989501953125]",voie1,0.0415
50,1,0.8743945956230164,"[718.893798828125, 378.0104675292969, 1186.7548828125, 913.3290405273438]",voie1,0.0406
51,1,0.8780683875083923,"[718.608154296875, 378.07720947265625, 1191.25048828125, 911.3642578125]",voie1,0.0335
52,1,0.8826087117195129,"[717.7120971679688, 376.64093017578125, 1193.3582763671875, 911.642578125]",voie1,0.033
53,1,0.8784177303314209,"[717.1677856445312, 376.0737609863281, 1194.3590087890625, 909.51904296875]",voie1,0.0302
54,1,0.8868784308433533,"[717.9229736328125, 375.12042236328125, 1199.1876220703125, 911.2748413085938]",voie1,0.0372
55,1,0.8858544230461121,"[718.4750366210938, 374.7547607421875, 1202.55029296875, 921.131103515625]",voie1,0.0509
56,1,0.8806401491165161,"[716.4386596679688, 375.32562255859375, 1200.6373291015625, 912.236083984375]",voie1,0.0335
57,1,0.8803313374519348,"[716.2734985351562, 375.1033935546875, 1200.5472412109375, 908.3419799804688]",voie1,0.029
58,1,0.8838016986846924,"[716.141357421875, 374.9959411621094, 1199.419921875, 911.640380859375]",voie1,0.0296
59,1,0.8918685913085938,"[719.73974609375, 374.5904846191406, 1208.555419921875, 927.8134765625]",voie1,0.0433
60,1,0.888719379901886,"[723.1758422851562, 372.1246643066406, 1216.2684326171875, 933.5430297851562]",voie1,0.0508
61,1,0.8888781666755676,"[723.2680053710938, 371.1187438964844, 1218.137939453125, 935.4437255859375]",voie1,0.0529
62,1,0.8927794098854065,"[723.669677734375, 370.3396301269531, 1218.0364990234375, 936.6163330078125]",voie1,0.0527
63,1,0.8872888684272766,"[723.5623168945312, 373.4067077636719, 1217.06005859375, 940.9569702148438]",voie1,0.0603
64,1,0.8907514214515686,"[723.8801879882812, 374.8250732421875, 1220.3487548828125, 940.1119384765625]",voie1,0.0578
65,1,0.8825311064720154,"[723.6416625976562, 376.5821228027344, 1221.3594970703125, 927.977783203125]",voie1,0.0316
66,1,0.8846448063850403,"[723.9385986328125, 376.48663330078125, 1221.9927978515625, 926.203857421875]",voie1,0.0297
67,1,0.8767105937004089,"[730.1029052734375, 382.0787658691406, 1221.2550048828125, 937.6396484375]",voie1,0.0325
68,1,0.872020423412323,"[728.4901123046875, 382.3524169921875, 1215.6290283203125, 943.6988525390625]",voie1,0.0372
69,1,0.8668269515037537,"[726.7644653320312, 384.0155029296875, 1208.026123046875, 930.2805786132812]",voie2,0.0224
70,1,0.8667844533920288,"[726.5283813476562, 383.05023193359375, 1205.3702392578125, 923.6297607421875]",voie2,0.0161
71,1,0.8404293060302734,"[739.4925537109375, 388.55133056640625, 1201.8101806640625, 905.3599243164062]",voie2,0.0016
72,1,0.8604754209518433,"[738.54150390625, 390.5594177246094, 1215.5692138671875, 930.6266479492188]",voie1,0.0248
73,1,0.8623670339584351,"[736.1846313476562, 390.67010498046875, 1214.7174072265625, 935.7894897460938]",voie1,0.0275
74,1,0.8611153960227966,"[734.0810546875, 390.1091613769531, 1213.5091552734375, 934.7493896484375]",voie1,0.026
75,1,0.8605567216873169,"[733.25341796875, 391.39019775390625, 1209.9840087890625, 922.858642578125]",voie1,0.0008
76,1,0.8447042107582092,"[733.617919921875, 390.9991760253906, 1217.22509765625, 931.9600830078125]",voie2,0.0069
77,1,0.8495417237281799,"[736.4826049804688, 390.7911682128906, 1214.8240966796875, 928.0516357421875]",voie1,0.0003
