frame,train_track_id,train_conf,train_bbox,assigned_track,overlap
0,1,0.8171399235725403,"[588.0496215820312, 627.3148193359375, 806.9064331054688, 872.5496215820312]",voie2,0.0378
1,1,0.817313015460968,"[587.9834594726562, 625.054931640625, 802.251220703125, 876.7510986328125]",voie2,0.0511
2,1,0.8122197389602661,"[592.6458129882812, 625.240478515625, 798.4137573242188, 874.56787109375]",voie2,0.0488
3,1,0.8125895857810974,"[594.7631225585938, 625.554443359375, 797.6671142578125, 873.9542236328125]",voie2,0.0477
4,1,0.801895797252655,"[599.2727661132812, 626.6353149414062, 798.4984741210938, 874.138916015625]",voie2,0.0344
5,1,0.8025450706481934,"[600.704345703125, 626.398681640625, 798.8952026367188, 873.6445922851562]",voie2,0.0332
6,1,0.8122659921646118,"[595.1863403320312, 625.895751953125, 799.117431640625, 878.2217407226562]",voie2,0.0431
7,1,0.8119725584983826,"[592.8056030273438, 625.6350708007812, 798.8382568359375, 879.765869140625]",voie2,0.0469
8,1,0.8202425241470337,"[586.9473266601562, 623.6281127929688, 797.4882202148438, 878.5418701171875]",voie2,0.045
9,1,0.8201280236244202,"[585.3966064453125, 623.7399291992188, 797.5650634765625, 878.7900390625]",voie2,0.0451
10,1,0.8231961727142334,"[584.8104248046875, 623.2091674804688, 800.336181640625, 880.0198974609375]",voie2,0.0549
11,1,0.8233668208122253,"[583.9772338867188, 622.8817749023438, 800.8970947265625, 880.2022705078125]",voie2,0.0556
12,1,0.8175428509712219,"[584.9421997070312, 623.8158569335938, 798.7311401367188, 877.0103149414062]",voie2,0.0497
13,1,0.8174636960029602,"[585.4593505859375, 624.1841430664062, 798.1556396484375, 875.8071899414062]",voie2,0.0459
14,1,0.8184419274330139,"[583.2283935546875, 624.4846801757812, 797.713623046875, 875.9369506835938]",voie2,0.0505
15,1,0.8183362483978271,"[582.522705078125, 624.3917236328125, 797.5425415039062, 875.80615234375]",voie2,0.0499
16,1,0.822022020816803,"[582.1192016601562, 623.4896850585938, 797.5331420898438, 876.4884643554688]",voie2,0.053
