epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.975,1.04685,3.93412,1.37625,0.87229,0.46875,0.4773,0.4018,0.57237,3.16237,1.01908,8e-05,8e-05,8e-05
2,435.116,0.80368,2.22077,1.22166,0.87102,0.46875,0.5032,0.38165,0.71058,3.88383,1.11006,0.000167896,0.000167896,0.000167896
3,655.6,0.75412,1.71144,1.16012,0.83004,0.3125,0.37345,0.29669,1.03508,4.72153,1.3739,0.000253565,0.000253565,0.000253565
4,781.607,0.83269,1.68869,1.20852,0.89231,0.34169,0.44151,0.33361,0.91906,4.20035,1.33577,0.000337006,0.000337006,0.000337006
5,922.705,0.85172,1.53784,1.22647,0.75556,0.34375,0.33087,0.24658,1.07971,4.76448,1.50578,0.00041822,0.00041822,0.00041822
6,1090.79,0.81516,1.37029,1.19852,0.754,0.35524,0.35579,0.23796,1.07931,4.0298,1.67448,0.000497206,0.000497206,0.000497206
7,1241.71,0.88292,1.26415,1.21652,0.7529,0.28125,0.2562,0.18681,1.31097,4.36959,1.6952,0.000573965,0.000573965,0.000573965
8,1400.1,0.8637,1.24295,1.24098,0.76037,0.125,0.12894,0.07063,2.16945,5.68092,2.67971,0.000648496,0.000648496,0.000648496
9,1556.27,0.9559,1.28754,1.29504,0.1495,0.77083,0.25873,0.13778,1.20127,4.47945,1.87955,0.0007208,0.0007208,0.0007208
10,1706.72,0.96844,1.24093,1.30916,0.15034,0.5625,0.19953,0.1033,1.50528,5.61535,2.17323,0.000790876,0.000790876,0.000790876
11,1852.67,1.02139,1.31638,1.2836,0.25725,0.51042,0.35445,0.18237,1.33476,5.95531,1.96767,0.000858725,0.000858725,0.000858725
12,1982.3,0.92148,1.09695,1.27971,0.67092,0.34375,0.20971,0.11898,1.31602,5.84158,1.91874,0.000863875,0.000863875,0.000863875
13,2156.37,0.97141,1.18616,1.29402,0.18213,0.25,0.20985,0.14941,1.30482,4.53101,1.823,0.0008515,0.0008515,0.0008515
14,2285.92,0.95696,1.07589,1.25817,0.75736,0.25,0.32832,0.23969,1.30642,5.38634,2.02955,0.000839125,0.000839125,0.000839125
15,2419.94,0.95982,1.07045,1.28867,0.31437,0.41667,0.3727,0.25872,1.31763,2.38219,1.83499,0.00082675,0.00082675,0.00082675
16,2542.57,1.02936,1.13172,1.29364,0.27772,0.38542,0.29975,0.10974,1.98492,5.52643,2.50514,0.000814375,0.000814375,0.000814375
17,2672.68,0.90177,1.10203,1.23846,0.47837,0.52083,0.47046,0.33271,1.40295,4.5425,1.88397,0.000802,0.000802,0.000802
18,2886.01,0.90903,0.92507,1.23372,0.48807,0.47917,0.56601,0.45807,1.14109,2.25019,1.70486,0.000789625,0.000789625,0.000789625
19,3136.31,0.99727,1.13493,1.30873,0.94505,0.3125,0.38892,0.2801,1.1922,1.74483,1.84263,0.00077725,0.00077725,0.00077725
20,3347.22,0.96489,0.99653,1.23353,0.28187,0.28125,0.3464,0.20769,1.29051,1.99579,1.63282,0.000764875,0.000764875,0.000764875
21,3524.82,0.9302,0.95736,1.20357,0.32805,0.49571,0.38541,0.25519,1.32389,1.78445,1.71519,0.0007525,0.0007525,0.0007525
22,3682.1,0.81455,0.90112,1.15582,0.39496,0.28125,0.39285,0.28543,1.11719,1.73112,1.46843,0.000740125,0.000740125,0.000740125
23,3844.64,0.85607,0.95486,1.17751,0.84214,0.28125,0.36807,0.285,0.96552,1.73869,1.35909,0.00072775,0.00072775,0.00072775
24,4034.46,0.78158,0.83803,1.16391,0.84793,0.28125,0.36737,0.28845,0.90046,1.65431,1.28774,0.000715375,0.000715375,0.000715375
25,4197.14,0.79299,0.85134,1.17731,0.22775,0.47917,0.323,0.25664,1.02501,1.90294,1.40002,0.000703,0.000703,0.000703
26,4358.47,0.79695,0.79925,1.19134,0.88823,0.3125,0.48047,0.38557,0.90859,1.7261,1.34005,0.000690625,0.000690625,0.000690625
27,4508.79,0.81475,0.86202,1.14685,0.82212,0.34375,0.46327,0.36715,0.83393,1.62011,1.27603,0.00067825,0.00067825,0.00067825
28,4672.04,0.80956,0.85628,1.15006,0.48592,0.57292,0.48683,0.34453,1.09694,1.50284,1.55862,0.000665875,0.000665875,0.000665875
29,4824.62,0.72831,0.78871,1.14112,0.46126,0.50128,0.4939,0.37963,0.97996,1.53339,1.46989,0.0006535,0.0006535,0.0006535
30,4974.98,0.77613,0.82806,1.14008,0.93076,0.28125,0.44777,0.33219,1.05483,1.47694,1.45351,0.000641125,0.000641125,0.000641125
31,5130.49,0.71321,0.74345,1.09299,0.93087,0.34375,0.49228,0.35196,1.05763,1.38788,1.50232,0.00062875,0.00062875,0.00062875
32,5319.23,0.72445,0.73235,1.12961,0.90747,0.4375,0.52737,0.40133,0.88841,1.17047,1.26604,0.000616375,0.000616375,0.000616375
33,5488.3,0.78872,0.75941,1.10127,0.93696,0.4375,0.55066,0.40569,0.92987,1.10634,1.24871,0.000604,0.000604,0.000604
34,5642.28,0.73015,0.75572,1.13033,0.83976,0.46875,0.50552,0.35472,0.90381,1.39429,1.32267,0.000591625,0.000591625,0.000591625
35,5818.31,0.7839,0.76565,1.14027,0.88932,0.40625,0.5721,0.42265,0.94447,1.25196,1.34054,0.00057925,0.00057925,0.00057925
