epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.368,1.39233,3.97399,3.97284,1.59946,0.32781,0.69231,0.31471,0.16916,0.09989,0.23077,0.03362,0.01186,1.44013,2.55181,9.79254,1.50607,0.00012,0.00012,0.00012
2,212.073,0.94487,2.56998,2.57066,1.21395,0.23444,0.30769,0.14079,0.05876,0.16337,0.15385,0.04827,0.01788,1.55007,2.56515,4.81063,1.82994,0.00025571,0.00025571,0.00025571
3,311.706,0.98615,2.37542,2.09411,1.19224,0.3086,0.53846,0.30605,0.12891,0.07684,0.07692,0.00808,0.00326,1.71184,4.06954,4.0134,2.03386,0.0003868,0.0003868,0.0003868
4,408.174,1.0027,2.03178,1.81064,1.17682,0.45141,0.46154,0.42438,0.2203,0.23861,0.23077,0.14163,0.03973,1.52663,5.14472,5.17642,1.83429,0.00051327,0.00051327,0.00051327
5,505.302,1.11579,2.24369,1.80258,1.31067,0.26204,0.53846,0.3448,0.10578,0,0,0,0,2.03887,6.52897,9.68654,2.29319,0.00063512,0.00063512,0.00063512
6,611.684,1.07372,1.97967,1.63905,1.25652,0.22452,0.30769,0.18781,0.07694,0.1251,0.15385,0.08778,0.05753,2.70892,8.90283,9.89806,3.16659,0.00075235,0.00075235,0.00075235
7,715.985,1.08863,2.10414,1.27437,1.2258,0.14485,0.30769,0.10391,0.02946,0.07157,0.15385,0.02589,0.00898,3.22103,11.9778,10.3333,2.96785,0.00086496,0.00086496,0.00086496
8,819.894,1.18685,2.10558,1.50622,1.34933,0.29857,0.30769,0.22907,0.14271,0.39302,0.23077,0.17214,0.03769,2.03732,23.3172,4.71436,2.35582,0.00097295,0.00097295,0.00097295
9,929.909,1.14106,2.05893,1.52032,1.27329,0.46852,0.2738,0.25413,0.14559,0.27539,0.15385,0.0754,0.02132,2.30778,26.7786,7.05467,2.51235,0.00107632,0.00107632,0.00107632
10,1023.42,1.17347,1.93858,1.43481,1.31416,0.27638,0.38462,0.18843,0.06939,0.08583,0.23077,0.03985,0.01919,2.63877,24.7696,11.7383,2.91645,0.00117507,0.00117507,0.00117507
11,1114.36,1.12448,1.84557,1.47293,1.20741,0.15398,0.30769,0.11398,0.04814,0.04991,0.23077,0.01707,0.00382,2.18571,5.99742,11.0726,2.52902,0.0012692,0.0012692,0.0012692
12,1205.98,1.18902,2.01035,1.42885,1.27006,0.25666,0.38462,0.21388,0.0981,0.15312,0.23077,0.10486,0.02765,2.40622,8.23286,7.1674,2.91276,0.00135871,0.00135871,0.00135871
13,1296.68,1.16793,1.89568,1.41918,1.28478,0.22651,0.23077,0.16525,0.08986,0.13701,0.15385,0.09392,0.0565,1.92201,5.71165,3.89317,2.27238,0.0014436,0.0014436,0.0014436
14,1386.71,1.13505,1.84825,1.37873,1.22279,0.22651,0.23077,0.16525,0.08986,0.13701,0.15385,0.09392,0.0565,1.92201,5.71165,3.89317,2.27238,0.00152387,0.00152387,0.00152387
15,1479.99,1.20385,2.18795,1.32006,1.28602,0.30818,0.23077,0.17956,0.05956,0.11147,0.15385,0.08847,0.06197,2.40418,5.88669,5.1123,3.07149,0.001538,0.001538,0.001538
16,1569.63,1.11488,1.92509,1.15993,1.20661,0.18117,0.15385,0.08401,0.02516,0.00272,0.07692,0.00091,0.00024,2.50367,7.75994,6.9835,2.86674,0.001505,0.001505,0.001505
17,1658.08,1.24866,1.90425,1.2461,1.27882,0.23116,0.38462,0.19084,0.07012,0.1047,0.15385,0.0897,0.03851,2.26903,5.01335,6.85308,2.71577,0.001472,0.001472,0.001472
18,1747.96,1.02795,1.60224,1.09499,1.22266,0.41562,0.43887,0.24785,0.1668,0.0871,0.07692,0.04078,0.02673,2.30406,4.4634,3.86132,3.27837,0.001439,0.001439,0.001439
19,1838.22,1.12269,1.89631,1.11545,1.21534,0.48739,0.38462,0.35129,0.21159,0.19721,0.15385,0.03925,0.0123,2.18216,5.91208,3.52992,3.09759,0.001406,0.001406,0.001406
20,1928.79,1.13104,2.11008,1.18905,1.23043,0.3833,0.30769,0.2313,0.10996,0.19227,0.07692,0.08792,0.04974,2.24508,4.97557,5.3561,3.15643,0.001373,0.001373,0.001373
21,2020.65,1.10633,1.78102,1.034,1.23943,0.48606,0.30769,0.24883,0.15153,0.2385,0.30769,0.16844,0.04734,2.57229,3.89238,4.53945,3.10889,0.00134,0.00134,0.00134
22,2114.8,1.06488,1.57277,0.98978,1.18449,0.48606,0.30769,0.24883,0.15153,0.2385,0.30769,0.16844,0.04734,2.57229,3.89238,4.53945,3.10889,0.001307,0.001307,0.001307
23,2207.4,0.98798,1.57168,0.90926,1.129,0.5185,0.38462,0.33396,0.25953,0.41185,0.30769,0.23506,0.09111,1.96215,3.91773,3.73181,2.29722,0.001274,0.001274,0.001274
24,2301.33,1.0409,1.32628,0.94226,1.15132,0.59669,0.38462,0.37079,0.18392,0.47401,0.30769,0.21199,0.04452,2.04852,3.39523,4.46464,2.46313,0.001241,0.001241,0.001241
25,2392.79,0.97101,1.66226,0.89613,1.11516,0.48479,0.38462,0.41716,0.17967,0.38045,0.30769,0.20592,0.05254,2.03514,3.24736,3.43645,2.50978,0.001208,0.001208,0.001208
26,2481.89,1.04111,1.53857,1.03462,1.21573,0.80189,0.38462,0.42325,0.20463,0.57587,0.23077,0.23303,0.06639,1.89576,3.38837,3.44789,2.34838,0.001175,0.001175,0.001175
27,2574.23,1.0229,1.54888,1.00248,1.16838,0.45274,0.23077,0.3185,0.1989,0.14859,0.30769,0.07246,0.02548,1.90522,5.4721,4.72594,2.71172,0.001142,0.001142,0.001142
28,2664.02,0.95518,1.49588,0.9184,1.11552,0.45436,0.38462,0.38966,0.23478,0.59251,0.38462,0.32967,0.13697,1.97011,2.71632,4.24285,2.45099,0.001109,0.001109,0.001109
29,2756.08,0.90847,1.4768,0.90838,1.14562,0.65932,0.38462,0.30489,0.17258,0.52745,0.30769,0.17961,0.06144,2.20247,2.83407,3.16743,2.53288,0.001076,0.001076,0.001076
30,2847.22,0.98888,1.45467,0.88527,1.11939,0.65932,0.38462,0.30489,0.17258,0.52745,0.30769,0.17961,0.06144,2.20247,2.83407,3.16743,2.53288,0.001043,0.001043,0.001043
31,2939.61,0.97655,1.42391,0.90767,1.13727,0.55094,0.38462,0.2767,0.14354,0.43628,0.30769,0.17892,0.06507,2.1989,2.85202,4.13824,2.40329,0.00101,0.00101,0.00101
32,3029.59,0.90667,1.51619,0.86372,1.11891,0.47928,0.38462,0.30616,0.1892,0.55988,0.30769,0.27958,0.09599,2.23239,2.55932,3.91389,2.4107,0.000977,0.000977,0.000977
33,3116.95,0.954,1.34111,0.80927,1.19214,0.49249,0.38462,0.37895,0.20455,0.38581,0.46154,0.22929,0.06907,1.99742,2.602,3.3011,2.0204,0.000944,0.000944,0.000944
34,3202.37,0.93049,1.33561,0.8293,1.11808,0.6183,0.38462,0.39032,0.25531,0.52157,0.30769,0.2911,0.13944,1.93762,2.40234,3.17389,2.02613,0.000911,0.000911,0.000911
35,3281.96,0.94149,1.4214,0.83663,1.09844,0.53545,0.35678,0.37114,0.25268,0.42912,0.23077,0.20582,0.09282,1.72858,2.48205,3.5616,1.89194,0.000878,0.000878,0.000878
36,3361.57,0.82061,1.32824,0.7649,1.05988,0.47843,0.38462,0.2537,0.14563,0.22782,0.15385,0.05617,0.03694,1.83112,3.72497,3.09437,1.9936,0.000845,0.000845,0.000845
37,3449.17,0.87882,1.33443,0.82444,1.0853,0.44369,0.38462,0.24238,0.12512,0.17475,0.15385,0.03332,0.01984,2.00918,4.46627,2.38955,2.3292,0.000812,0.000812,0.000812
38,3530.68,0.82417,1.27832,0.80038,1.09784,0.44369,0.38462,0.24238,0.12512,0.17475,0.15385,0.03332,0.01984,2.00918,4.46627,2.38955,2.3292,0.000779,0.000779,0.000779
39,3616.4,0.83551,1.26531,0.83266,1.05488,0.58413,0.38462,0.32714,0.18124,0.34809,0.23077,0.15368,0.03703,1.89345,4.12719,1.90642,2.22298,0.000746,0.000746,0.000746
40,3707.6,0.85356,1.14679,0.73918,1.08248,0.69014,0.38462,0.37175,0.21248,0.45891,0.23077,0.17498,0.09694,1.94364,3.50917,1.98222,2.21683,0.000713,0.000713,0.000713
41,3798.31,0.82982,1.0759,0.71339,1.09519,0.74843,0.30769,0.3956,0.20706,0.58305,0.30769,0.24781,0.10041,1.88723,3.4158,2.00668,2.19323,0.00068,0.00068,0.00068
42,3887.98,0.81456,1.19185,0.73263,1.0745,0.51432,0.53846,0.47676,0.2324,0.46953,0.38462,0.2767,0.12125,1.83148,3.85263,1.79058,2.20071,0.000647,0.000647,0.000647
43,3980.43,0.80121,1.06648,0.65561,1.05088,0.47445,0.53846,0.47068,0.24714,0.45008,0.38462,0.28576,0.1552,1.90376,4.26236,1.73254,2.23919,0.000614,0.000614,0.000614
44,4072.65,0.86224,1.11768,0.68272,1.09269,0.6419,0.46154,0.44366,0.24789,0.36984,0.46154,0.30987,0.17573,1.97905,4.73783,1.54348,2.29994,0.000581,0.000581,0.000581
45,4163.49,0.761,1.06564,0.66627,1.03692,0.43029,0.58208,0.42908,0.22054,0.45646,0.45283,0.28521,0.14458,2.05457,4.99488,1.55146,2.29167,0.000548,0.000548,0.000548
46,4255.49,0.71896,0.94424,0.62476,1.00572,0.43029,0.58208,0.42908,0.22054,0.45646,0.45283,0.28521,0.14458,2.05457,4.99488,1.55146,2.29167,0.000515,0.000515,0.000515
47,4347.55,0.80676,1.18834,0.74601,1.04725,0.39892,0.61538,0.42317,0.20914,0.45826,0.46154,0.2853,0.14539,2.03788,4.57963,1.52957,2.3777,0.000482,0.000482,0.000482
48,4439.24,0.78383,1.06391,0.73406,1.06276,0.59603,0.46154,0.42804,0.24946,0.48928,0.38462,0.31512,0.15219,1.97351,4.33091,1.5297,2.21426,0.000449,0.000449,0.000449
49,4523.81,0.78219,1.0859,0.68208,1.03599,0.6318,0.52881,0.45896,0.27808,0.46046,0.45969,0.33463,0.14502,1.88192,4.07502,1.5472,2.10639,0.000416,0.000416,0.000416
50,4616.1,0.72975,0.98263,0.66245,1.01237,0.72719,0.61515,0.53217,0.27303,0.35749,0.30769,0.22453,0.12304,2.06726,3.67021,1.48268,2.28651,0.000383,0.000383,0.000383
51,4702.35,0.63705,0.73007,0.65669,1.02775,0.65822,0.61538,0.52257,0.26881,0.6704,0.30769,0.32864,0.13977,2.03433,3.26135,1.60273,2.19483,0.00035,0.00035,0.00035
52,4786.33,0.66512,0.93599,0.62202,1.01391,0.66349,0.60731,0.50328,0.26389,0.3305,0.30769,0.22859,0.1212,1.8543,3.0126,1.57201,2.01763,0.000317,0.000317,0.000317
53,4874.47,0.65684,0.7343,0.56088,0.97572,0.45807,0.4556,0.35272,0.25738,0.55766,0.30769,0.2865,0.1265,1.71721,3.00996,1.53811,1.90635,0.000284,0.000284,0.000284
54,4957.3,0.64218,0.76469,0.59054,1.06135,0.45807,0.4556,0.35272,0.25738,0.55766,0.30769,0.2865,0.1265,1.71721,3.00996,1.53811,1.90635,0.000251,0.000251,0.000251
55,5039.62,0.6561,0.86129,0.6173,1.01653,0.43715,0.41973,0.38366,0.27621,0.5584,0.30769,0.31252,0.13793,1.70029,2.83977,1.58379,1.86519,0.000218,0.000218,0.000218
56,5123.57,0.61577,0.71163,0.5577,1.00116,0.45804,0.58622,0.44587,0.30912,0.56825,0.30769,0.33843,0.15781,1.66936,2.77716,1.52211,1.84451,0.000185,0.000185,0.000185
57,5205.67,0.58698,0.71056,0.5265,0.97837,0.5952,0.53846,0.47916,0.3213,0.61678,0.30769,0.34885,0.16337,1.62165,2.68542,1.43075,1.81831,0.000152,0.000152,0.000152
