frame,train_track_id,train_conf,train_bbox,assigned_track,overlap
0,1,0.8252301216125488,"[912.3098754882812, 304.8018798828125, 1368.619873046875, 646.3211669921875]",,0.0
1,1,0.7789011001586914,"[914.615966796875, 307.4800720214844, 1368.33203125, 647.6106567382812]",,0.0
2,1,0.7789055109024048,"[914.0897827148438, 306.2885437011719, 1369.0521240234375, 678.2294921875]",,0.0
3,1,0.8129791021347046,"[913.2050170898438, 304.99737548828125, 1367.2266845703125, 682.0305786132812]",voie2,0.0091
4,1,0.8106607794761658,"[912.9410400390625, 304.7194519042969, 1366.6337890625, 683.632568359375]",voie2,0.0137
5,1,0.8362422585487366,"[903.65625, 301.6583557128906, 1361.8175048828125, 664.7134399414062]",,0.0
6,1,0.8346495032310486,"[901.5181884765625, 302.63397216796875, 1363.7000732421875, 665.6044311523438]",,0.0
7,1,0.8344584703445435,"[899.7581176757812, 302.19537353515625, 1370.3031005859375, 658.9351806640625]",,0.0
8,1,0.8332787752151489,"[898.9481811523438, 301.69158935546875, 1372.65087890625, 656.5086059570312]",,0.0
9,1,0.8383570909500122,"[902.18017578125, 298.748779296875, 1373.7947998046875, 654.9319458007812]",,0.0
10,1,0.8378556370735168,"[903.7650146484375, 297.5580749511719, 1373.9354248046875, 654.150390625]",,0.0
11,1,0.8465672135353088,"[897.298828125, 294.5341491699219, 1365.1217041015625, 742.2484741210938]",voie2,0.1245
12,1,0.8467230200767517,"[894.9541625976562, 293.2081604003906, 1362.5775146484375, 772.6558837890625]",voie2,0.1761
13,1,0.8496250510215759,"[897.2767333984375, 295.0476989746094, 1369.96044921875, 700.3143920898438]",voie2,0.0409
14,1,0.8484005331993103,"[898.5728149414062, 296.3052673339844, 1372.4376220703125, 667.2993774414062]",,0.0
15,1,0.8494564294815063,"[892.2203369140625, 295.8219909667969, 1372.093505859375, 745.8318481445312]",voie2,0.1265
16,1,0.8496784567832947,"[889.7955322265625, 295.63037109375, 1371.8575439453125, 771.8139038085938]",voie2,0.1707
17,1,0.8516223430633545,"[891.3755493164062, 296.6118469238281, 1374.6953125, 779.2683715820312]",voie2,0.185
18,1,0.8525527119636536,"[890.6149291992188, 296.72662353515625, 1375.32421875, 781.4497680664062]",voie2,0.1883
19,1,0.8482524752616882,"[887.3616943359375, 299.15191650390625, 1379.4376220703125, 697.3034057617188]",voie2,0.0407
20,1,0.8497346639633179,"[885.9421997070312, 300.1456604003906, 1380.9603271484375, 661.2913818359375]",,0.0
21,1,0.8553783297538757,"[886.1795043945312, 295.15252685546875, 1374.0208740234375, 742.4860229492188]",voie3,0.1219
22,1,0.8551071286201477,"[886.6155395507812, 293.8030700683594, 1371.6690673828125, 768.9034423828125]",voie3,0.1672
23,1,0.7892305850982666,"[887.1610717773438, 294.2406005859375, 1376.0079345703125, 685.7328491210938]",voie3,0.0145
24,1,0.7941556572914124,"[887.10400390625, 295.1380615234375, 1377.3697509765625, 649.0768432617188]",,0.0
25,1,0.8368657231330872,"[898.3643798828125, 292.7317810058594, 1372.9210205078125, 737.5523071289062]",voie3,0.1147
26,1,0.8368196487426758,"[902.6552124023438, 291.7544860839844, 1370.7740478515625, 765.4572143554688]",voie3,0.1641
27,1,0.8301490545272827,"[893.4396362304688, 290.9316101074219, 1377.2672119140625, 686.5548706054688]",voie3,0.0063
28,1,0.86013263463974,"[886.8421020507812, 290.3991394042969, 1370.532958984375, 752.8554077148438]",voie3,0.1405
29,1,0.8261299729347229,"[879.330810546875, 288.3519592285156, 1377.1937255859375, 771.8455810546875]",voie3,0.1497
30,1,0.8265335559844971,"[876.3834228515625, 287.8476867675781, 1379.7586669921875, 779.5244140625]",voie3,0.1609
31,1,0.8222846984863281,"[871.3550415039062, 287.62811279296875, 1379.1878662109375, 783.5625]",voie2,0.1663
32,1,0.8222405910491943,"[869.829833984375, 287.49786376953125, 1378.94970703125, 785.0584106445312]",voie2,0.1683
33,1,0.8184671998023987,"[870.0164794921875, 287.2817687988281, 1371.7022705078125, 783.3676147460938]",voie3,0.1723
34,1,0.8181489706039429,"[870.6848754882812, 287.2568664550781, 1369.34716796875, 782.59375]",voie3,0.1712
35,1,0.8659274578094482,"[868.316650390625, 284.3536682128906, 1372.599853515625, 786.1665649414062]",,0.0
36,1,0.8661736845970154,"[866.8895263671875, 283.9002685546875, 1372.7403564453125, 787.6690063476562]",,0.0
37,1,0.8416858911514282,"[857.8445434570312, 283.5721130371094, 1370.659912109375, 784.64306640625]",voie3,0.1658
38,1,0.8233414888381958,"[857.2064819335938, 280.0747985839844, 1366.949462890625, 786.4126586914062]",voie3,0.1653
39,1,0.8647920489311218,"[855.369140625, 279.8023376464844, 1361.8856201171875, 787.7723388671875]",,0.0
40,1,0.8642029762268066,"[854.837158203125, 279.91119384765625, 1360.3331298828125, 788.1787109375]",,0.0
41,1,0.8584250807762146,"[857.4024658203125, 277.9718933105469, 1370.4046630859375, 790.8121948242188]",,0.0
42,1,0.8589522838592529,"[857.4091186523438, 277.6525573730469, 1373.7625732421875, 791.705322265625]",,0.0
43,1,0.8615222573280334,"[854.9306030273438, 274.1089172363281, 1379.9522705078125, 801.1410522460938]",,0.0
44,1,0.8615618944168091,"[853.7178344726562, 272.1785583496094, 1382.1285400390625, 804.3096923828125]",,0.0
45,1,0.8697517514228821,"[850.7982177734375, 266.800048828125, 1381.9278564453125, 807.8833618164062]",,0.0
46,1,0.8699033856391907,"[850.2791748046875, 264.35845947265625, 1382.26171875, 808.7656860351562]",,0.0
47,1,0.8733004331588745,"[849.563720703125, 264.3649597167969, 1379.942138671875, 810.5363159179688]",,0.0
48,1,0.8733997344970703,"[850.2067260742188, 263.818603515625, 1379.3531494140625, 810.4793701171875]",,0.0
49,1,0.8763694763183594,"[850.0217895507812, 265.0028076171875, 1381.8604736328125, 811.6207275390625]",,0.0
50,1,0.876465380191803,"[849.2022094726562, 265.6001892089844, 1382.0762939453125, 811.973388671875]",,0.0
51,1,0.8599070310592651,"[851.8869018554688, 266.25762939453125, 1381.6171875, 812.8008422851562]",,0.0
52,1,0.8637454509735107,"[852.8467407226562, 270.1363525390625, 1375.2642822265625, 803.348388671875]",,0.0
53,1,0.8684764504432678,"[849.9418334960938, 268.8196716308594, 1377.9932861328125, 811.4984741210938]",,0.0
54,1,0.8692019581794739,"[849.0416870117188, 267.736083984375, 1379.385498046875, 814.329345703125]",,0.0
55,1,0.8776824474334717,"[846.067626953125, 267.7488098144531, 1379.306396484375, 815.852294921875]",,0.0
56,1,0.881074845790863,"[842.3336791992188, 269.7830505371094, 1381.1531982421875, 813.4588012695312]",,0.0
57,1,0.8784265518188477,"[843.298583984375, 270.18768310546875, 1379.950439453125, 815.8602294921875]",,0.0
58,1,0.8811517953872681,"[839.2879028320312, 272.19500732421875, 1380.9898681640625, 813.3093872070312]",,0.0
59,1,0.8851633667945862,"[839.3690795898438, 272.0101318359375, 1383.9827880859375, 813.53564453125]",,0.0
60,1,0.885137677192688,"[839.78564453125, 271.2182312011719, 1384.871337890625, 813.3171997070312]",,0.0
61,1,0.8888320922851562,"[833.4579467773438, 266.7030944824219, 1386.6903076171875, 811.341064453125]",,0.0
62,1,0.8888353109359741,"[830.648681640625, 265.6851806640625, 1387.1553955078125, 810.892578125]",,0.0
63,1,0.8926141262054443,"[828.688232421875, 263.3890075683594, 1386.2325439453125, 811.0830078125]",,0.0
64,1,0.8923371434211731,"[828.24755859375, 262.4763488769531, 1386.3258056640625, 812.0034790039062]",,0.0
65,1,0.8752756714820862,"[831.522216796875, 263.2649230957031, 1386.56787109375, 817.79443359375]",,0.0
66,1,0.8770633935928345,"[833.810302734375, 260.8404235839844, 1385.8016357421875, 823.8330688476562]",,0.0
67,1,0.8907994031906128,"[829.4095458984375, 257.4045715332031, 1386.2181396484375, 823.0763549804688]",,0.0
68,1,0.8890799283981323,"[827.784423828125, 256.3070373535156, 1386.14697265625, 822.645263671875]",,0.0
69,1,0.8881256580352783,"[832.5255126953125, 254.7100067138672, 1385.5567626953125, 826.4093017578125]",,0.0
70,1,0.8869087100028992,"[834.760009765625, 254.63595581054688, 1385.2430419921875, 827.6266479492188]",,0.0
71,1,0.8896192908287048,"[829.3170166015625, 252.64569091796875, 1385.1768798828125, 826.8261108398438]",,0.0
72,1,0.8893689513206482,"[827.7247314453125, 252.7369842529297, 1385.3023681640625, 826.2598266601562]",,0.0
73,1,0.8894628882408142,"[824.7163696289062, 249.57225036621094, 1385.366455078125, 826.996826171875]",,0.0
74,1,0.8890476226806641,"[823.411865234375, 248.34295654296875, 1385.1861572265625, 827.276611328125]",,0.0
75,1,0.8863351941108704,"[822.8619995117188, 243.9808807373047, 1384.38525390625, 827.8001098632812]",,0.0
76,1,0.8861550688743591,"[822.3742065429688, 242.785888671875, 1383.66064453125, 828.2337646484375]",,0.0
77,1,0.8934292197227478,"[825.78857421875, 242.0976104736328, 1384.814208984375, 827.4441528320312]",,0.0
78,1,0.8933190703392029,"[826.639404296875, 241.80926513671875, 1384.564697265625, 827.0452270507812]",,0.0
79,1,0.8872584700584412,"[824.5526733398438, 240.79058837890625, 1384.166015625, 829.447998046875]",,0.0
80,1,0.8877707719802856,"[823.7361450195312, 240.3287811279297, 1383.863037109375, 830.6622924804688]",,0.0
81,1,0.8892365097999573,"[824.8229370117188, 238.59463500976562, 1383.13427734375, 830.7601928710938]",,0.0
