epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.912,0.93152,3.38437,1.27298,0.70968,0.63158,0.75205,0.5601,0.88926,6.41885,1.21771,0.00032,0.00032,0.00032
2,271.908,1.07117,1.97498,1.37132,0.52814,0.52632,0.54943,0.32363,1.28721,8.92517,1.79637,0.00064911,0.00064911,0.00064911
3,397.014,1.19039,1.74144,1.43619,0.47642,0.52632,0.37248,0.21291,1.71771,8.54687,2.54584,0.000967,0.000967,0.000967
4,519.921,1.39521,1.69949,1.62205,0.72914,0.10526,0.11061,0.02961,3.25696,17.2132,4.30644,0.00127367,0.00127367,0.00127367
5,640.92,1.45417,1.70229,1.6703,0.25308,0.31579,0.19083,0.09639,2.02976,11.5639,2.5218,0.00156912,0.00156912,0.00156912
6,761.665,1.36979,1.51076,1.59106,0.01221,0.42105,0.0106,0.00433,2.65448,13.0272,3.85834,0.001835,0.001835,0.001835
7,881.058,1.56983,1.78372,1.69616,0.14804,0.26316,0.07457,0.0227,2.56785,5.52885,3.56519,0.001802,0.001802,0.001802
8,1001.35,1.65078,1.6901,1.80168,0.24349,0.42105,0.24235,0.11108,2.16596,5.50681,3.14235,0.001769,0.001769,0.001769
9,1123.65,1.5176,1.52364,1.68569,0.23846,0.89474,0.63756,0.27115,1.73449,21.8114,2.97114,0.001736,0.001736,0.001736
10,1245.31,1.54276,1.53387,1.70584,0.4258,0.57895,0.46203,0.22347,1.82557,5.573,2.61906,0.001703,0.001703,0.001703
11,1369.9,1.42516,1.53632,1.63015,0.34145,0.42105,0.33415,0.12805,2.10037,4.1704,2.53566,0.00167,0.00167,0.00167
12,1491.68,1.31586,1.36264,1.54438,0.35333,0.57524,0.32065,0.152,1.73855,3.65841,2.0506,0.001637,0.001637,0.001637
13,1613.08,1.29028,1.32428,1.58608,0.49883,0.63158,0.63414,0.36811,1.45137,2.0929,1.8678,0.001604,0.001604,0.001604
14,1735.31,1.289,1.35165,1.52012,0.43837,0.57895,0.43614,0.24205,1.8363,3.44851,2.10492,0.001571,0.001571,0.001571
15,1857.11,1.30774,1.26918,1.49,0.44694,0.51091,0.4144,0.23696,1.77909,2.31731,2.0474,0.001538,0.001538,0.001538
16,1980.19,1.21689,1.2018,1.42244,0.46676,0.55341,0.51279,0.28749,1.69786,3.39162,1.91431,0.001505,0.001505,0.001505
17,2102.2,1.22169,1.21035,1.42805,0.53038,0.31579,0.36667,0.13774,1.90543,3.60751,2.07163,0.001472,0.001472,0.001472
18,2225.22,1.18887,1.09821,1.41767,0.64434,0.78947,0.73518,0.43945,1.17456,2.38693,1.48249,0.001439,0.001439,0.001439
19,2347.46,1.17063,1.0464,1.43016,0.75927,0.66475,0.74557,0.43584,1.47616,1.60494,1.89539,0.001406,0.001406,0.001406
20,2471.58,1.18004,1.09825,1.41733,0.70133,0.74173,0.7611,0.42229,1.46639,1.73731,2.07439,0.001373,0.001373,0.001373
21,2592.12,1.10166,1.05388,1.40293,0.77642,0.89474,0.87288,0.5888,1.14604,1.18088,1.52182,0.00134,0.00134,0.00134
22,2713.03,1.08172,1.0024,1.33714,0.83698,0.78947,0.85117,0.59622,1.20085,1.13584,1.47126,0.001307,0.001307,0.001307
23,2834.02,1.07175,1.01604,1.33432,0.74591,0.73684,0.83316,0.60486,1.08968,1.62748,1.3832,0.001274,0.001274,0.001274
24,2955.26,1.14019,1.02595,1.39915,0.75616,0.89474,0.87785,0.64887,1.05027,1.36489,1.37086,0.001241,0.001241,0.001241
25,3079.29,1.06529,0.98371,1.32374,0.81895,0.73684,0.8802,0.59687,1.10509,1.06458,1.46067,0.001208,0.001208,0.001208
26,3201.42,1.03617,0.94901,1.29811,0.66034,0.89474,0.76361,0.53396,1.19382,1.07708,1.65939,0.001175,0.001175,0.001175
27,3322.31,0.99934,0.88835,1.28509,0.7952,0.78947,0.84927,0.58871,1.11877,1.18228,1.38063,0.001142,0.001142,0.001142
28,3445.8,1.04153,0.92983,1.32763,0.72571,0.83577,0.79915,0.51631,1.20878,1.1907,1.58701,0.001109,0.001109,0.001109
29,3566.86,1.00487,0.85588,1.28885,0.80513,0.73684,0.79094,0.57642,1.22147,0.95765,1.52153,0.001076,0.001076,0.001076
30,3688.86,0.95194,0.87304,1.25931,0.77327,0.73684,0.83939,0.58945,1.07381,0.83701,1.40291,0.001043,0.001043,0.001043
31,3810.03,0.95528,0.86936,1.25778,0.74785,0.78947,0.83294,0.53128,1.18832,0.98577,1.52413,0.00101,0.00101,0.00101
32,3931.9,0.95755,0.83564,1.27223,0.84334,0.56741,0.72786,0.50149,1.19937,1.12971,1.53153,0.000977,0.000977,0.000977
33,4054.03,0.92943,0.79909,1.19188,0.64077,0.89474,0.8235,0.50447,1.23996,0.95569,1.56393,0.000944,0.000944,0.000944
