epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.7754,1.41401,4.10687,4.70256,1.65019,0.05532,0.63333,0.12698,0.05411,0.00074,0.03333,0.01112,0.00334,1.59965,3.33443,4.95371,1.71658,6e-05,6e-05,6e-05
2,181.105,1.05343,3.01559,3.477,1.34576,0.05402,0.66667,0.19856,0.08245,0.8065,0.03333,0.00192,0.0007,1.36404,2.61465,11.6332,1.52282,0.000128391,0.000128391,0.000128391
3,270.766,0.87497,2.27168,2.65468,1.17706,0.72785,0.23333,0.25885,0.14969,0.69993,0.1,0.05532,0.02473,1.27424,2.54154,7.73939,1.53597,0.00019505,0.00019505,0.00019505
4,367.177,0.95018,1.99877,2.29888,1.18646,0.72231,0.2,0.17702,0.10676,0.68792,0.1,0.07443,0.04078,1.40656,2.77572,4.84096,1.73959,0.000259976,0.000259976,0.000259976
5,459.374,0.92069,1.99142,2.32725,1.17624,0.7144,0.13333,0.15334,0.09132,0.82717,0.03333,0.03083,0.01552,1.59339,3.21609,6.65506,1.75252,0.00032317,0.00032317,0.00032317
6,551.716,0.92614,1.77925,2.01272,1.14645,0.29158,0.33333,0.14126,0.07188,0.23346,0.2,0.04179,0.03262,2.05668,3.43784,6.96829,2.3871,0.000384631,0.000384631,0.000384631
7,643.063,0.89918,1.69894,1.72489,1.11481,0.50551,0.33333,0.16648,0.10406,0.48142,0.26667,0.11555,0.07338,2.17928,3.53104,17.7674,2.54151,0.00044436,0.00044436,0.00044436
8,734.047,0.93785,1.65124,1.88893,1.16127,0.63098,0.23963,0.2674,0.2217,0.62585,0.23333,0.21743,0.16583,2.05486,5.62177,7.23802,2.44083,0.000502356,0.000502356,0.000502356
9,824.876,0.91214,1.67859,1.76268,1.09006,0.327,0.3,0.24651,0.19905,0.51588,0.23333,0.2176,0.16511,2.04766,5.29946,5.07651,2.33574,0.00055862,0.00055862,0.00055862
10,917,0.88964,1.57774,1.58231,1.11694,0.60736,0.26667,0.23965,0.19869,0.60736,0.26667,0.22484,0.16754,1.78953,2.89839,4.4789,2.08713,0.000613151,0.000613151,0.000613151
11,1015.34,0.91232,1.49801,1.48139,1.08567,0.40658,0.36667,0.332,0.27173,0.40658,0.36667,0.31625,0.15975,1.57314,2.63212,3.7009,1.8228,0.00066595,0.00066595,0.00066595
12,1106.66,1.04631,1.7894,1.73789,1.19015,0.82189,0.16667,0.1678,0.10078,0.7788,0.13333,0.13543,0.0888,1.64526,2.80564,3.4796,1.7383,0.000717016,0.000717016,0.000717016
13,1195.08,0.96428,1.54513,1.5481,1.16964,0.32263,0.36179,0.25413,0.17668,0.30883,0.29604,0.20051,0.10176,1.72474,3.12467,3.31478,1.78263,0.00076635,0.00076635,0.00076635
14,1282.79,0.943,1.58088,1.5747,1.11492,0.32263,0.36179,0.25413,0.17668,0.30883,0.29604,0.20051,0.10176,1.72474,3.12467,3.31478,1.78263,0.000813951,0.000813951,0.000813951
15,1370.92,0.95701,1.56064,1.50975,1.15811,0.70481,0.26667,0.29603,0.25043,0.63885,0.23333,0.23845,0.18508,1.7989,2.30575,3.03638,2.00264,0.00082675,0.00082675,0.00082675
16,1458.17,0.85804,1.29611,1.44191,1.09449,0.27983,0.33333,0.11757,0.09627,0.27983,0.33333,0.11062,0.06111,1.79379,2.46693,3.37564,2.06856,0.000814375,0.000814375,0.000814375
17,1545.95,0.98897,1.57852,1.50412,1.13902,0.7796,0.1,0.14635,0.10189,0.74352,0.06667,0.09723,0.06277,2.01286,2.78534,3.38542,2.52749,0.000802,0.000802,0.000802
18,1632.23,0.82943,1.13505,1.3451,1.08772,0.70562,0.16667,0.11871,0.08762,0.70562,0.16667,0.10995,0.05555,1.82747,2.51609,3.18122,2.10264,0.000789625,0.000789625,0.000789625
19,1719.04,0.97497,1.37011,1.4418,1.16126,0.51003,0.2,0.16715,0.14327,0.51003,0.2,0.16169,0.07673,1.57931,2.61994,2.85964,1.84938,0.00077725,0.00077725,0.00077725
20,1807.38,0.94694,1.52268,1.42023,1.10549,0.7182,0.06667,0.11761,0.09254,0.7182,0.06667,0.10697,0.04662,1.28391,2.42208,3.39701,1.44565,0.000764875,0.000764875,0.000764875
21,1895.77,0.91242,1.37803,1.33566,1.13434,0.51703,0.15731,0.14192,0.11549,0.46426,0.1,0.10997,0.05494,1.33411,2.20206,3.49529,1.45216,0.0007525,0.0007525,0.0007525
